SORT TYPE,log 2,NUM ELEMENTS,NUM NODES,NUM THREADS,TOTAL CYCLES,WALL CLOCK TIME (s),,,,,,,,,
NETWORK,8,256,1,2,6581663,1,,,NETWORK,7,128,1,2,2844402,1
NETWORK,8,256,1,4,3896144,1,,,NETWORK,7,128,1,4,1882782,1
NETWORK,8,256,1,8,2923748,1,,,NETWORK,7,128,1,8,1672452,1
NETWORK,8,256,1,16,3390114,1,,,NETWORK,7,128,1,16,2394222,1
NETWORK,8,256,1,32,5367868,1,,,NETWORK,7,128,1,32,3619242,1
NETWORK,8,256,2,1,6604070,1,,,NETWORK,7,128,1,64,6155297,2
NETWORK,8,256,2,2,3823388,1,,,NETWORK,7,128,2,1,2866827,1
NETWORK,8,256,2,4,2572855,1,,,NETWORK,7,128,2,2,1830958,1
NETWORK,8,256,2,8,2293094,1,,,NETWORK,7,128,2,4,1426211,1
NETWORK,8,256,2,16,3227283,1,,,NETWORK,7,128,2,8,1480487,1
NETWORK,8,256,2,32,4957186,2,,,NETWORK,7,128,2,16,2249840,1
NETWORK,8,256,4,1,3995006,1,,,NETWORK,7,128,2,32,3544722,1
NETWORK,8,256,4,2,2651093,1,,,NETWORK,7,128,2,64,6398657,2
NETWORK,8,256,4,4,2122688,1,,,NETWORK,7,128,4,1,1971376,1
NETWORK,8,256,4,8,2190320,1,,,NETWORK,7,128,4,2,1494354,1
NETWORK,8,256,4,16,3171101,2,,,NETWORK,7,128,4,4,1366064,1
NETWORK,8,256,4,32,4971762,2,,,NETWORK,7,128,4,8,1635821,1
NETWORK,8,256,8,1,3120428,1,,,NETWORK,7,128,4,16,2358492,1
NETWORK,8,256,8,2,2496552,1,,,NETWORK,7,128,4,32,3651250,2
NETWORK,8,256,8,4,2390287,1,,,NETWORK,7,128,4,64,3565286,2
NETWORK,8,256,8,8,2829696,2,,,NETWORK,7,128,8,1,1856369,1
NETWORK,8,256,8,16,3813587,2,,,NETWORK,7,128,8,2,1665705,1
NETWORK,8,256,8,32,5479500,2,,,NETWORK,7,128,8,4,1720801,1
NETWORK,9,512,1,1,29945278,2,,,NETWORK,7,128,8,8,2221181,2
NETWORK,9,512,1,2,15546612,1,,,NETWORK,7,128,8,16,2847902,2
NETWORK,9,512,1,4,8561570,1,,,NETWORK,7,128,8,32,2875932,2
NETWORK,9,512,1,8,5593576,1,,,NETWORK,7,128,8,64,2775672,2
NETWORK,9,512,1,16,5292421,1,,,NETWORK,8,256,1,1,12276230,1
NETWORK,9,512,1,32,8767763,1,,,NETWORK,8,256,1,2,6584298,1
NETWORK,9,512,2,1,15565565,1,,,NETWORK,8,256,1,4,3895091,1
NETWORK,9,512,2,2,8441324,1,,,NETWORK,8,256,1,8,2930118,1
NETWORK,9,512,2,4,5067828,1,,,NETWORK,8,256,1,16,3396701,1
